Biomass Check Summary for Site: Sankar_2014_reformatted

RESULT: NEEDS INVESTIGATION - Model below observation and/or invalid comparison rows (see Point-wise delta).

--- Point-wise delta (obs vs sim) ---
Rule: FAIL if simulated < observed (percent_diff < 0); PASS if simulated >= observed. Any positive gap passes (no upper limit).
Rows in comparison file (n): 168
Rows passing delta rule (sim >= obs): 155
Rows with shortfall (sim < obs): 13
Rows with zero simulated: 0
Rows with missing simulated: 0
Rows with invalid/missing observed (cannot compute %): 0

                               Observation  Observed  Simulated          Difference
sankar_2014_reformatted_t1_cgrain_cot_1987     22.96   113.0053            +392.18%
sankar_2014_reformatted_t1_cgrain_cot_1989     22.40    45.1546            +101.58%
sankar_2014_reformatted_t1_cgrain_cot_1989     36.40    45.1546             +24.05%
sankar_2014_reformatted_t1_cgrain_cot_1990     21.20    62.4595            +194.62%
sankar_2014_reformatted_t1_cgrain_cot_1991     12.00    47.3089            +294.24%
sankar_2014_reformatted_t1_cgrain_cot_1993     17.20    45.3868            +163.88%
sankar_2014_reformatted_t1_cgrain_cot_1993     40.64    45.3868             +11.68%
sankar_2014_reformatted_t1_cgrain_cot_1995     14.96    41.4251            +176.91%
sankar_2014_reformatted_t1_cgrain_cot_1996     26.60    37.4340             +40.73%
sankar_2014_reformatted_t1_cgrain_cot_1997      6.64    42.0746            +533.65%
sankar_2014_reformatted_t1_cgrain_cot_1998     18.76    44.3198            +136.25%
sankar_2014_reformatted_t1_cgrain_cot_1998      3.64    44.3198           +1117.58%
sankar_2014_reformatted_t1_cgrain_cot_2000     22.20    26.8048             +20.74%
sankar_2014_reformatted_t1_cgrain_cot_2000     24.12    26.8048             +11.13%
sankar_2014_reformatted_t1_cgrain_cot_2001     11.92    33.8812            +184.24%
sankar_2014_reformatted_t1_cgrain_cot_2003     13.76    23.1238             +68.05%
sankar_2014_reformatted_t1_cgrain_cot_2003     10.00    23.1238            +131.24%
sankar_2014_reformatted_t1_cgrain_cot_2005      5.96    25.0410            +320.15%
sankar_2014_reformatted_t1_cgrain_cot_2006     25.40    21.6427 -14.79% [SHORTFALL]
sankar_2014_reformatted_t1_cgrain_cot_2007     36.76    19.9637 -45.69% [SHORTFALL]
sankar_2014_reformatted_t1_cgrain_cot_2008     19.60    20.2744              +3.44%
sankar_2014_reformatted_t2_cgrain_cot_1987     33.36   113.0053            +238.74%
sankar_2014_reformatted_t2_cgrain_cot_1989     30.00    91.1367            +203.79%
sankar_2014_reformatted_t2_cgrain_cot_1989     51.60    91.1367             +76.62%
sankar_2014_reformatted_t2_cgrain_cot_1990     34.00   108.4887            +219.08%
sankar_2014_reformatted_t2_cgrain_cot_1991     18.40    93.7412            +409.46%
sankar_2014_reformatted_t2_cgrain_cot_1993     25.20    91.9636            +264.93%
sankar_2014_reformatted_t2_cgrain_cot_1993     65.48    91.9636             +40.45%
sankar_2014_reformatted_t2_cgrain_cot_1995     18.84    83.4301            +342.83%
sankar_2014_reformatted_t2_cgrain_cot_1996     34.12    83.0610            +143.44%
sankar_2014_reformatted_t2_cgrain_cot_1997     16.08    91.1289            +466.72%
sankar_2014_reformatted_t2_cgrain_cot_1998     25.68   102.6866            +299.87%
sankar_2014_reformatted_t2_cgrain_cot_1998      8.04   102.6866           +1177.20%
sankar_2014_reformatted_t2_cgrain_cot_2000     27.24    67.9469            +149.44%
sankar_2014_reformatted_t2_cgrain_cot_2000     36.16    67.9469             +87.91%
sankar_2014_reformatted_t2_cgrain_cot_2001     13.00    84.1031            +546.95%
