site,site_dir,somsc_summary,biomass_summary,n2o_summary,somsc_result,biomass_result,n2o_result,n2o_summary_plot_count,n2o_year_summary_plot_count,biomass_livec_plot_count,somsc_spinup_png,somsc_spinup_png_exists,somsc_exp_png,somsc_exp_png_exists,somsc_scatter_png,somsc_scatter_png_exists,biomass_scatter_png,biomass_scatter_png_exists,n2o_scatter_png,n2o_scatter_png_exists
Agegnehu_2015,assets/Agegnehu_2015,assets/Agegnehu_2015/somsc_check/somsc_check_summary.txt,assets/Agegnehu_2015/biomass_check/biomass_check_summary.txt,assets/Agegnehu_2015/n2o_check/n2o_check_summary.txt,RESULT: OK for Calibration - No major discrepancies found.,RESULT: CANNOT ASSESS - 'averaged_biomass_comparison.csv' was not found.,RESULT: CANNOT ASSESS - No N2O flux observations in the observation file.,0,0,7,assets/Agegnehu_2015/somsc_check/somsc_timeseries_spinup.png,True,assets/Agegnehu_2015/somsc_check/somsc_timeseries_exp.png,True,assets/Agegnehu_2015/somsc_check/observed_vs_modeled_somsc.png,True,assets/Agegnehu_2015/biomass_check/observed_vs_modeled_biomass.png,False,assets/Agegnehu_2015/n2o_check/observed_vs_modeled_n2o.png,False
Anandakumar_2022,assets/Anandakumar_2022,assets/Anandakumar_2022/somsc_check/somsc_check_summary.txt,assets/Anandakumar_2022/biomass_check/biomass_check_summary.txt,assets/Anandakumar_2022/n2o_check/n2o_check_summary.txt,RESULT: OK for Calibration - No major discrepancies found.,RESULT: CANNOT ASSESS - No biomass/grain observations in the observation file.,RESULT: CANNOT ASSESS - No N2O flux observations in the observation file.,0,0,6,assets/Anandakumar_2022/somsc_check/somsc_timeseries_spinup.png,True,assets/Anandakumar_2022/somsc_check/somsc_timeseries_exp.png,True,assets/Anandakumar_2022/somsc_check/observed_vs_modeled_somsc.png,False,assets/Anandakumar_2022/biomass_check/observed_vs_modeled_biomass.png,False,assets/Anandakumar_2022/n2o_check/observed_vs_modeled_n2o.png,False
Aravindh_2023,assets/Aravindh_2023,assets/Aravindh_2023/somsc_check/somsc_check_summary.txt,assets/Aravindh_2023/biomass_check/biomass_check_summary.txt,assets/Aravindh_2023/n2o_check/n2o_check_summary.txt,RESULT: OK for Calibration - No major discrepancies found.,RESULT: CANNOT ASSESS - No biomass/grain observations in the observation file.,RESULT: CANNOT ASSESS - No N2O flux observations in the observation file.,0,8,10,assets/Aravindh_2023/somsc_check/somsc_timeseries_spinup.png,True,assets/Aravindh_2023/somsc_check/somsc_timeseries_exp.png,True,assets/Aravindh_2023/somsc_check/observed_vs_modeled_somsc.png,False,assets/Aravindh_2023/biomass_check/observed_vs_modeled_biomass.png,False,assets/Aravindh_2023/n2o_check/observed_vs_modeled_n2o.png,False
Aulakh_2013,assets/Aulakh_2013,assets/Aulakh_2013/somsc_check/somsc_check_summary.txt,assets/Aulakh_2013/biomass_check/biomass_check_summary.txt,assets/Aulakh_2013/n2o_check/n2o_check_summary.txt,RESULT: OK for Calibration - No major discrepancies found.,RESULT: CANNOT ASSESS - No biomass/grain observations in the observation file.,RESULT: CANNOT ASSESS - No N2O flux observations in the observation file.,0,16,18,assets/Aulakh_2013/somsc_check/somsc_timeseries_spinup.png,True,assets/Aulakh_2013/somsc_check/somsc_timeseries_exp.png,True,assets/Aulakh_2013/somsc_check/observed_vs_modeled_somsc.png,True,assets/Aulakh_2013/biomass_check/observed_vs_modeled_biomass.png,False,assets/Aulakh_2013/n2o_check/observed_vs_modeled_n2o.png,False
Babu_2016,assets/Babu_2016,assets/Babu_2016/somsc_check/somsc_check_summary.txt,assets/Babu_2016/biomass_check/biomass_check_summary.txt,assets/Babu_2016/n2o_check/n2o_check_summary.txt,RESULT: OK for Calibration - No major discrepancies found.,RESULT: CANNOT ASSESS - 'averaged_biomass_comparison.csv' was not found.,RESULT: CANNOT ASSESS - No N2O flux observations in the observation file.,0,9,11,assets/Babu_2016/somsc_check/somsc_timeseries_spinup.png,True,assets/Babu_2016/somsc_check/somsc_timeseries_exp.png,True,assets/Babu_2016/somsc_check/observed_vs_modeled_somsc.png,True,assets/Babu_2016/biomass_check/observed_vs_modeled_biomass.png,False,assets/Babu_2016/n2o_check/observed_vs_modeled_n2o.png,False
Banerjee_2018,assets/Banerjee_2018,assets/Banerjee_2018/somsc_check/somsc_check_summary.txt,assets/Banerjee_2018/biomass_check/biomass_check_summary.txt,assets/Banerjee_2018/n2o_check/n2o_check_summary.txt,RESULT: OK for Calibration - No major discrepancies found.,RESULT: CANNOT ASSESS - 'averaged_biomass_comparison.csv' was not found.,,0,0,6,assets/Banerjee_2018/somsc_check/somsc_timeseries_spinup.png,True,assets/Banerjee_2018/somsc_check/somsc_timeseries_exp.png,True,assets/Banerjee_2018/somsc_check/observed_vs_modeled_somsc.png,False,assets/Banerjee_2018/biomass_check/observed_vs_modeled_biomass.png,False,assets/Banerjee_2018/n2o_check/observed_vs_modeled_n2o.png,False
Behera_2021_reformatted,assets/Behera_2021_reformatted,assets/Behera_2021_reformatted/somsc_check/somsc_check_summary.txt,assets/Behera_2021_reformatted/biomass_check/biomass_check_summary.txt,assets/Behera_2021_reformatted/n2o_check/n2o_check_summary.txt,RESULT: OK for Calibration - No major discrepancies found.,RESULT: CANNOT ASSESS - No biomass/grain observations in the observation file.,RESULT: CANNOT ASSESS - No N2O flux observations in the observation file.,0,20,22,assets/Behera_2021_reformatted/somsc_check/somsc_timeseries_spinup.png,True,assets/Behera_2021_reformatted/somsc_check/somsc_timeseries_exp.png,True,assets/Behera_2021_reformatted/somsc_check/observed_vs_modeled_somsc.png,False,assets/Behera_2021_reformatted/biomass_check/observed_vs_modeled_biomass.png,False,assets/Behera_2021_reformatted/n2o_check/observed_vs_modeled_n2o.png,False
Bhattacharya_2023,assets/Bhattacharya_2023,assets/Bhattacharya_2023/somsc_check/somsc_check_summary.txt,assets/Bhattacharya_2023/biomass_check/biomass_check_summary.txt,assets/Bhattacharya_2023/n2o_check/n2o_check_summary.txt,RESULT: OK for Calibration - No major discrepancies found.,RESULT: CANNOT ASSESS - 'averaged_biomass_comparison.csv' was not found.,RESULT: CANNOT ASSESS - Comparison CSV not found.,4,4,6,assets/Bhattacharya_2023/somsc_check/somsc_timeseries_spinup.png,True,assets/Bhattacharya_2023/somsc_check/somsc_timeseries_exp.png,True,assets/Bhattacharya_2023/somsc_check/observed_vs_modeled_somsc.png,False,assets/Bhattacharya_2023/biomass_check/observed_vs_modeled_biomass.png,False,assets/Bhattacharya_2023/n2o_check/observed_vs_modeled_n2o.png,False
Bhattacharyya_2018_reformatted,assets/Bhattacharyya_2018_reformatted,assets/Bhattacharyya_2018_reformatted/somsc_check/somsc_check_summary.txt,assets/Bhattacharyya_2018_reformatted/biomass_check/biomass_check_summary.txt,assets/Bhattacharyya_2018_reformatted/n2o_check/n2o_check_summary.txt,RESULT: OK for Calibration - No major discrepancies found.,RESULT: CANNOT ASSESS - 'averaged_biomass_comparison.csv' was not found.,RESULT: OK for Calibration - All points have simulated >= observed (no shortfalls).,3,3,5,assets/Bhattacharyya_2018_reformatted/somsc_check/somsc_timeseries_spinup.png,True,assets/Bhattacharyya_2018_reformatted/somsc_check/somsc_timeseries_exp.png,True,assets/Bhattacharyya_2018_reformatted/somsc_check/observed_vs_modeled_somsc.png,False,assets/Bhattacharyya_2018_reformatted/biomass_check/observed_vs_modeled_biomass.png,False,assets/Bhattacharyya_2018_reformatted/n2o_check/observed_vs_modeled_n2o.png,True
Biswakarma_2019,assets/Biswakarma_2019,assets/Biswakarma_2019/somsc_check/somsc_check_summary.txt,assets/Biswakarma_2019/biomass_check/biomass_check_summary.txt,assets/Biswakarma_2019/n2o_check/n2o_check_summary.txt,RESULT: OK for Calibration - No major discrepancies found.,RESULT: CANNOT ASSESS - 'averaged_biomass_comparison.csv' was not found.,RESULT: CANNOT ASSESS - No N2O flux observations in the observation file.,0,12,14,assets/Biswakarma_2019/somsc_check/somsc_timeseries_spinup.png,True,assets/Biswakarma_2019/somsc_check/somsc_timeseries_exp.png,True,assets/Biswakarma_2019/somsc_check/observed_vs_modeled_somsc.png,False,assets/Biswakarma_2019/biomass_check/observed_vs_modeled_biomass.png,False,assets/Biswakarma_2019/n2o_check/observed_vs_modeled_n2o.png,False
